Place,State,Type,Place Type,In particular,County/Parish/Borough,Country,Division,Jurisdiction
Tipler,WI,Government,Town,,Florence County,US,ocd-division/country:us/state:wi/county:florence/place:tipler,
Alto,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:alto,
Ashford,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:ashford,
Auburn,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:auburn,
Byron,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:byron,
Calumet,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:calumet,
Eden,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:eden,
Eldorado,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:eldorado,
Empire,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:empire,
Fond du Lac,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:fond_du_lac,
Forest,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:forest,
Friendship,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:friendship,
Lamartine,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:lamartine,
Marshfield,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:marshfield,
Metomen,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:metomen,
Oakfield,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:oakfield,
Osceola,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:osceola,
Ripon,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:ripon,
Rosendale,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:rosendale,
Springvale,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:springvale,
Taycheedah,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:taycheedah,
Waupun,WI,Government,Town,,Fond du Lac County,US,ocd-division/country:us/state:wi/county:fond_du_lac/place:waupun,
Alvin,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:alvin,
Argonne,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:argonne,
Armstrong Creek,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:armstrong_creek,
Blackwell,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:blackwell,
Caswell,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:caswell,
Crandon,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:crandon,
Freedom,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:freedom,
Hiles,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:hiles,
Laona,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:laona,
Lincoln,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:lincoln,
Nashville,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:nashville,
Popple River,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:popple_river,
Ross,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:ross,
Wabeno,WI,Government,Town,,Forest County,US,ocd-division/country:us/state:wi/county:forest/place:wabeno,
Beetown,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:beetown,
Bloomington,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:bloomington,
Boscobel,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:boscobel,
Cassville,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:cassville,
Castle Rock,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:castle_rock,
Clifton,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:clifton,
Ellenboro,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:ellenboro,
Fennimore,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:fennimore,
Glen Haven,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:glen_haven,
Harrison,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:harrison,
Hazel Green,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:hazel_green,
Hickory Grove,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:hickory_grove,
Jamestown,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:jamestown,
Liberty,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:liberty,
Lima,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:lima,
Little Grant,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:little_grant,
Marion,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:marion,
Millville,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:millville,
Mount Hope,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:mount_hope,
Mount Ida,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:mount_ida,
Muscoda,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:muscoda,
North Lancaster,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:north_lancaster,
Paris,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:paris,
Patch Grove,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:patch_grove,
Platteville,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:platteville,
Potosi,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:potosi,
Smelser,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:smelser,
South Lancaster,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:south_lancaster,
Waterloo,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:waterloo,
Watterstown,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:watterstown,
Wingville,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:wingville,
Woodman,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:woodman,
Wyalusing,WI,Government,Town,,Grant County,US,ocd-division/country:us/state:wi/county:grant/place:wyalusing,
Adams,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:adams,
Albany,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:albany,
Brooklyn,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:brooklyn,
Cadiz,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:cadiz,
Clamo,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:clarno,
Decatur,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:decatur,
Exeter,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:exeter,
Jefferson,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:jefferson,
Jordan,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:jordan,
Monroe,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:monroe,
Mount Pleasant,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:mount_pleasant,
New Glarus,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:new_glarus,
Spring Grove,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:spring_grove,
Sylvester,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:sylvester,
Washington,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:washington,
York,WI,Government,Town,,Green County,US,ocd-division/country:us/state:wi/county:green/place:york,
Berlin,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:berlin,
Brooklyn,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:brooklyn,
Green Lake,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:green_lake,
Kingston,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:kingston,
Mackford,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:mackford,
Manchester,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:manchester,
Marquette,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:marquette,
Princeton,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:princeton,
Seneca,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:seneca,
St. Marie,WI,Government,Town,,Green Lake County,US,ocd-division/country:us/state:wi/county:green_lake/place:st_marie,
Arena,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:arena,
Brigham,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:brigham,
Clyde,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:clyde,
Dodgeville,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:dodgeville,
Eden,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:eden,
Highland,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:highland,
Linden,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:linden,
Mifflin,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:mifflin,
Mineral Point,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:mineral_point,
Moscow,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:moscow,
Pulaski,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:pulaski,
Ridgeway,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:ridgeway,
Waldwick,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:waldwick,
Wyoming,WI,Government,Town,,Iowa County,US,ocd-division/country:us/state:wi/county:iowa/place:wyoming,
Anderson,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:anderson,
Carey,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:carey,
Gurney,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:gurney,
Kimball,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:kimball,
Knight,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:knight,
Mercer,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:mercer,
Oma,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:oma,
Pence,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:pence,
Saxon,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:saxon,
Sherman,WI,Government,Town,,Iron County,US,ocd-division/country:us/state:wi/county:iron/place:sherman,
Adams,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:adams,
Albion,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:albion,
Alma,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:alma,
Bear Bluff,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:bear_bluff,
Brockway,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:brockway,
City Point,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:city_point,
Cleveland,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:cleveland,
Curran,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:curran,
Franklin,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:franklin,
Garden Valley,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:garden_valley,
Garfield,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:garfield,
Hixton,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:hixton,
Irving,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:irving,
Knapp,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:knapp,
Komensky,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:komensky,
Manchester,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:manchester,
Melrose,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:melrose,
Millston,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:millston,
North Bend,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:north_bend,
Northfield,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:northfield,
Springfield,WI,Government,Town,,Jackson County,US,ocd-division/country:us/state:wi/county:jackson/place:springfield,
Aztalan,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:aztalan,
Cold Spring,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:cold_spring,
Concord,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:concord,
Farmington,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:farmington,
Hebron,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:hebron,
Ixonia,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:ixonia,
Jefferson,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:jefferson,
Koshkonong,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:koshkonong,
Lake Mills,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:lake_mills,
Milford,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:milford,
Oakland,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:oakland,
Palmyra,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:palmyra,
Sullivan,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:sullivan,
Sumner,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:sumner,
Waterloo,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:waterloo,
Watertown,WI,Government,Town,,Jefferson County,US,ocd-division/country:us/state:wi/county:jefferson/place:watertown,
Armenia,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:armenia,
Clearfield,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:clearfield,
Cutler,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:cutler,
Finley,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:finley,
Fountain,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:fountain,
Germantown,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:germantown,
Kildare,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:kildare,
Kingston,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:kingston,
Lemonweir,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:lemonweir,
Lindina,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:lindina,
Lisbon,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:lisbon,
Lyndon,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:lyndon,
Marion,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:marion,
Necedah,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:necedah,
Orange,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:orange,
Plymouth,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:plymouth,
Seven Mile Creek,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:seven_mile_creek,
Summit,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:summit,
Wonewoc,WI,Government,Town,,Juneau County,US,ocd-division/country:us/state:wi/county:juneau/place:wonewoc,
Brighton,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:brighton,
Paris,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:paris,
Randall,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:randall,
Salem,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:salem,
Somers,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:somers,
Wheatland,WI,Government,Town,,Kenosha County,US,ocd-division/country:us/state:wi/county:kenosha/place:wheatland,
Ahnapee,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:ahnapee,
Carlton,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:carlton,
Casco,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:casco,
Franklin,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:franklin,
Lincoln,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:lincoln,
Luxemburg,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:luxemburg,
Montpelier,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:montpelier,
Pierce,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:pierce,
Red River,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:red_river,
West Kewaunee,WI,Government,Town,,Kewaunee County,US,ocd-division/country:us/state:wi/county:kewaunee/place:west_kewaunee,
Bangor,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:bangor,
Barre,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:barre,
Burns,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:burns,
Campbell,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:campbell,
Farmington,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:farmington,
Greenfield,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:greenfield,
Hamilton,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:hamilton,
Holland,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:holland,
Medary,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:medary,
Onalaska,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:onalaska,
Shelby,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:shelby,
Washington,WI,Government,Town,,La Crosse County,US,ocd-division/country:us/state:wi/county:la_crosse/place:washington,
Ackley,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:ackley,
Ainsworth,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:ainsworth,
Antigo,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:antigo,
Elcho,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:elcho,
Evergreen,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:evergreen,
Langlade,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:langlade,
Neva,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:neva,
Norwood,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:norwood,
Parrish,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:parrish,
Peck,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:peck,
Polar,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:polar,
Price,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:price,
Rolling,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:rolling,
Summit,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:summit,
Upham,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:upham,
Vilas,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:vilas,
Wolf River,WI,Government,Town,,Langlade County,US,ocd-division/country:us/state:wi/county:langlade/place:wolf_river,
Birch,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:birch,
Bradley,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:bradley,
Corning,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:corning,
Harding,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:harding,
Harrison,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:harrison,
King,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:king,
Merrill,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:merrill,
Pine River,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:pine_river,
Rock Falls,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:rock_falls,
Russell,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:russell,
Schley,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:schley,
Scott,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:scott,
Skanawan,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:skanawan,
Somo,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:somo,
Tomahawk,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:tomahawk,
Wilson,WI,Government,Town,,Lincoln County,US,ocd-division/country:us/state:wi/county:lincoln/place:wilson,
Cato,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:cato,
Centerville,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:centerville,
Cooperstown,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:cooperstown,
Eaton,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:eaton,
Franklin,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:franklin,
Gibson,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:gibson,
Kossuth,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:kossuth,
Liberty,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:liberty,
Manitowoc,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:manitowoc,
Manitowoc Rapids,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:manitowoc_rapids,
Maple Grove,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:maple_grove,
Meeme,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:meeme,
Mishicot,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:mishicot,
Newton,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:newton,
Rockland,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:rockland,
Schleswig,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:schleswig,
Two Creeks,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:two_creeks,
Two Rivers,WI,Government,Town,,Manitowoc County,US,ocd-division/country:us/state:wi/county:manitowoc/place:two_rivers,
Bergen,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:bergen,
Berlin,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:berlin,
Bern,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:bern,
Bevent,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:bevent,
Brighton,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:brighton,
Cassel,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:cassel,
Cleveland,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:cleveland,
Day,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:day,
Easton,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:easton,
Eau Pleine,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:eau_pleine,
Elderon,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:elderon,
Emmet,WI,Government,Town,,Marathon County,US,ocd-division/country:us/state:wi/county:marathon/place:emmet,
